Id,Category
0001,9
0002,9
0003,0
0004,3
0005,9
0006,9
0007,2
0008,9
0009,3
0010,9
0011,9
0012,0
0013,9
0014,9
0015,0
0016,3
0017,9
0018,10
0019,3
0020,4
0021,9
0022,10
0023,10
0024,2
0025,2
0026,9
0027,10
0028,8
0029,3
0030,4
0031,2
0032,2
0033,9
0034,8
0035,8
0036,3
0037,10
0038,9
0039,2
0040,2
0041,9
0042,3
0043,9
0044,5
0045,3
0046,9
0047,6
0048,4
0049,8
0050,5
0051,2
0052,0
0053,9
0054,10
0055,0
0056,3
0057,2
0058,9
0059,3
0060,3
0061,2
0062,3
0063,3
0064,9
0065,8
0066,2
0067,7
0068,2
0069,3
0070,9
0071,9
0072,9
0073,5
0074,7
0075,9
0076,0
0077,9
0078,7
0079,10
0080,2
0081,9
0082,9
0083,10
0084,2
0085,2
0086,8
0087,3
0088,2
0089,2
0090,10
0091,8
0092,9
0093,8
0094,2
0095,3
0096,4
0097,3
0098,9
0099,2
0100,5
0101,9
0102,2
0103,4
0104,9
0105,9
0106,2
0107,2
0108,3
0109,2
0110,2
0111,9
0112,6
0113,6
0114,3
0115,6
0116,5
0117,9
0118,4
0119,9
0120,2
0121,9
0122,5
0123,9
0124,4
0125,3
0126,0
0127,5
0128,9
0129,10
0130,9
0131,5
0132,2
0133,4
0134,3
0135,9
0136,2
0137,9
0138,3
0139,9
0140,2
0141,2
0142,2
0143,2
0144,9
0145,10
0146,4
0147,9
0148,3
0149,4
0150,10
0151,2
0152,8
0153,5
0154,7
0155,0
0156,9
0157,9
0158,8
0159,9
0160,2
0161,6
0162,5
0163,5
0164,9
0165,9
0166,5
0167,2
0168,2
0169,5
0170,9
0171,9
0172,2
0173,9
0174,6
0175,7
0176,9
0177,2
0178,2
0179,2
0180,2
0181,9
0182,2
0183,2
0184,8
0185,2
0186,8
0187,9
0188,9
0189,8
0190,2
0191,2
0192,9
0193,2
0194,4
0195,3
0196,9
0197,2
0198,10
0199,9
0200,9
0201,3
0202,3
0203,2
0204,4
0205,10
0206,0
0207,4
0208,8
0209,9
0210,2
0211,9
0212,5
0213,0
0214,6
0215,8
0216,2
0217,9
0218,8
0219,9
0220,2
0221,8
0222,9
0223,9
0224,2
0225,4
0226,9
0227,2
0228,9
0229,5
0230,4
0231,5
0232,4
0233,2
0234,2
0235,2
0236,6
0237,6
0238,9
0239,3
0240,5
0241,5
0242,2
0243,10
0244,4
0245,9
0246,10
0247,2
0248,10
0249,2
0250,0
0251,8
0252,2
0253,2
0254,9
0255,3
0256,9
0257,3
0258,8
0259,3
0260,8
0261,9
0262,7
0263,4
0264,10
0265,10
0266,3
0267,7
0268,3
0269,2
0270,9
0271,2
0272,2
0273,2
0274,9
0275,9
0276,5
0277,10
0278,10
0279,8
0280,5
0281,8
0282,6
0283,2
0284,5
0285,8
0286,2
0287,3
0288,10
0289,9
0290,9
0291,8
0292,2
0293,0
0294,8
0295,6
0296,5
0297,4
0298,2
0299,6
0300,8
0301,3
0302,8
0303,9
0304,8
0305,2
0306,9
0307,5
0308,2
0309,2
0310,5
0311,8
0312,10
0313,2
0314,2
0315,2
0316,10
0317,10
0318,0
0319,2
0320,3
0321,9
0322,8
0323,9
0324,3
0325,3
0326,9
0327,3
0328,7
0329,2
0330,10
0331,5
0332,10
0333,5
0334,10
0335,9
0336,8
0337,6
0338,9
0339,5
0340,2
0341,8
0342,9
0343,10
0344,10
0345,8
0346,10
0347,2
0348,3
0349,2
0350,8
0351,8
0352,2
0353,10
0354,9
0355,0
0356,2
0357,3
0358,9
0359,9
0360,2
0361,0
0362,8
0363,7
0364,9
0365,3
0366,2
0367,2
0368,10
0369,3
0370,2
0371,3
0372,9
0373,4
0374,8
0375,9
0376,0
0377,9
0378,2
0379,9
0380,8
0381,0
0382,9
0383,8
0384,9
0385,7
0386,9
0387,3
0388,2
0389,7
0390,8
0391,10
0392,10
0393,4
0394,5
0395,9
0396,7
0397,5
0398,9
0399,10
0400,9
0401,9
0402,2
0403,8
0404,4
0405,2
0406,3
0407,9
0408,2
0409,8
0410,8
0411,10
0412,9
0413,8
0414,9
0415,8
0416,2
0417,4
0418,4
0419,9
0420,3
0421,9
0422,2
0423,6
0424,3
0425,7
0426,6
0427,9
0428,2
0429,3
0430,3
0431,8
0432,9
0433,3
0434,3
0435,4
0436,3
0437,10
0438,3
0439,2
0440,3
0441,9
0442,10
0443,3
0444,9
0445,6
0446,9
0447,4
0448,3
0449,3
0450,9
0451,2
0452,3
0453,9
0454,3
0455,0
0456,10
0457,2
0458,9
0459,5
0460,3
0461,5
0462,3
0463,9
0464,3
0465,9
0466,9
0467,2
0468,4
0469,2
0470,9
0471,9
0472,2
0473,9
0474,9
0475,10
0476,8
0477,5
0478,2
0479,2
0480,10
0481,5
0482,2
0483,9
0484,9
0485,2
0486,7
0487,9
0488,0
0489,9
0490,9
0491,3
0492,9
0493,5
0494,3
0495,2
0496,8
0497,0
0498,9
0499,1
0500,3
0501,3
0502,7
0503,5
0504,0
0505,0
0506,2
0507,3
0508,3
0509,3
0510,10
0511,8
0512,2
0513,10
0514,0
0515,2
0516,9
0517,2
0518,3
0519,8
0520,2
0521,9
0522,5
0523,8
0524,9
0525,9
0526,8
0527,4
0528,8
0529,7
0530,10
0531,2
0532,9
0533,0
0534,2
0535,5
0536,3
0537,9
0538,9
0539,2
0540,1
0541,9
0542,9
0543,9
0544,2
0545,3
0546,2
0547,9
0548,2
0549,3
0550,3
0551,0
0552,9
0553,3
0554,3
0555,9
0556,3
0557,4
0558,2
0559,3
0560,3
0561,2
0562,8
0563,10
0564,8
0565,9
0566,9
0567,2
0568,2
0569,4
0570,9
0571,8
0572,3
0573,2
0574,2
0575,0
0576,4
0577,3
0578,8
0579,10
0580,2
0581,2
0582,3
0583,9
0584,0
0585,8
0586,9
0587,3
0588,9
0589,2
0590,9
0591,0
0592,9
0593,5
0594,2
0595,2
0596,7
0597,2
0598,2
0599,2
0600,9
0601,2
0602,3
0603,3
0604,2
0605,6
0606,3
0607,2
0608,2
0609,4
0610,9
0611,3
0612,9
0613,8
0614,2
0615,7
0616,3
0617,9
0618,4
0619,9
0620,2
0621,6
0622,10
0623,6
0624,9
0625,9
0626,9
0627,9
0628,8
